Year,P&L Line,Geography,Operating Unit,Global Categories,Mapping,USD (Millions),Local Currency (Millions)
2019,Operating Income,Viet Nam,ASP OU,Juices/Nectars,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Juice Drinks,1,2.9904,2.9904
2019,Gross Revenue,Viet Nam,ASP OU,Juice Drinks,2,2.3683,55008.5690
2019,DfR,Viet Nam,ASP OU,Juice Drinks,3,0.0001,3.3529
2019,Net Revenue,Viet Nam,ASP OU,Juice Drinks,4,2.3682,55005.2161
2019,COGS,Viet Nam,ASP OU,Juice Drinks,5,1.0156,23586.0226
2019,Gross Profit,Viet Nam,ASP OU,Juice Drinks,6,1.3526,31419.1935
2019,DME,Viet Nam,ASP OU,Juice Drinks,7,0.0049,113.1649
2019,Operating Expenses,Viet Nam,ASP OU,Juice Drinks,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Juice Drinks,10,1.3477,31306.0286
2019,Unit Cases (UCS),Viet Nam,ASP OU,Dairy Beverages,1,11.6794,11.6794
2019,Gross Revenue,Viet Nam,ASP OU,Dairy Beverages,2,12.0110,279025.5940
2019,DfR,Viet Nam,ASP OU,Dairy Beverages,3,0.0005,21.6459
2019,Net Revenue,Viet Nam,ASP OU,Dairy Beverages,4,12.0105,279003.9481
2019,COGS,Viet Nam,ASP OU,Dairy Beverages,5,4.9691,115434.6382
2019,Gross Profit,Viet Nam,ASP OU,Dairy Beverages,6,7.0414,163569.3099
2019,DME,Viet Nam,ASP OU,Dairy Beverages,7,5.3929,125312.4897
2019,Operating Expenses,Viet Nam,ASP OU,Dairy Beverages,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Dairy Beverages,10,1.6484,38256.8202
2019,Unit Cases (UCS),Viet Nam,ASP OU,Plant Based Beverages,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,Plant Based Beverages,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Plant Based Beverages,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Plant Based Beverages,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Plant Based Beverages,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,Plant Based Beverages,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,Plant Based Beverages,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,Plant Based Beverages,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Plant Based Beverages,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Juices/Nectars,1,0.0019,0.0019
2019,Gross Revenue,Viet Nam,ASP OU,Juices/Nectars,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Juices/Nectars,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Juices/Nectars,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Juices/Nectars,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,Juices/Nectars,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,Juices/Nectars,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,Juices/Nectars,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Juices/Nectars,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Other Alcoholic Beverages,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,Other Alcoholic Beverages,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Other Alcoholic Beverages,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Other Alcoholic Beverages,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Other Alcoholic Beverages,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,Other Alcoholic Beverages,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,Other Alcoholic Beverages,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,Other Alcoholic Beverages,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Other Alcoholic Beverages,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Other Alcoholic Beverages,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,Other Alcoholic Beverages,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Other Alcoholic Beverages,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Other Alcoholic Beverages,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Other Alcoholic Beverages,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,Other Alcoholic Beverages,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,Other Alcoholic Beverages,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,Other Alcoholic Beverages,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Other Alcoholic Beverages,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Other Alcoholic Beverages,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,Other Alcoholic Beverages,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Other Alcoholic Beverages,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Other Alcoholic Beverages,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Other Alcoholic Beverages,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,Other Alcoholic Beverages,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,Other Alcoholic Beverages,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,Other Alcoholic Beverages,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Other Alcoholic Beverages,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Energy,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,Energy,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Energy,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Energy,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Energy,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,Energy,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,Energy,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,Energy,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Energy,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Other Categories,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,Other Categories,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,Other Categories,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Other Categories,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Other Categories,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,Other Categories,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,Other Categories,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Other Categories,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Other Categories,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,Other Categories,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,Other Categories,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Other Categories,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Other Categories,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,Other Categories,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,Other Categories,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Other Categories,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Other Categories,5,0.0000,0.0002
2019,Gross Profit,Viet Nam,ASP OU,Other Categories,6,0.0000,-0.0002
2019,DME,Viet Nam,ASP OU,Other Categories,7,-0.7562,-17581.5743
2019,Operating Expenses,Viet Nam,ASP OU,Other Categories,9,6.7391,156520.8244
2019,Operating Income,Viet Nam,ASP OU,Other Categories,10,-5.9830,-138939.2503
2019,Unit Cases (UCS),Viet Nam,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Other Categories,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,Other Categories,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,Other Categories,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Other Categories,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Prepared Coffee,1,0.0083,0.0083
2019,Gross Revenue,Viet Nam,ASP OU,Prepared Coffee,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,Prepared Coffee,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,Prepared Coffee,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,Prepared Coffee,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,Prepared Coffee,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,Prepared Coffee,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,Prepared Coffee,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Prepared Coffee,10,0.0000,0.0000
2019,Unit Cases (UCS),Viet Nam,ASP OU,Packaged Coffee,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,Packaged Coffee,2,0.0867,2017.4370
2019,DfR,Viet Nam,ASP OU,Packaged Coffee,3,0.0000,0.1227
2019,Net Revenue,Viet Nam,ASP OU,Packaged Coffee,4,0.0867,2017.3142
2019,COGS,Viet Nam,ASP OU,Packaged Coffee,5,0.0510,1185.0285
2019,Gross Profit,Viet Nam,ASP OU,Packaged Coffee,6,0.0357,832.2857
2019,DME,Viet Nam,ASP OU,Packaged Coffee,7,-0.0017,-39.2830
2019,Operating Expenses,Viet Nam,ASP OU,Packaged Coffee,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,Packaged Coffee,10,0.0374,871.5687
2019,Unit Cases (UCS),Viet Nam,ASP OU,NRTD Coffee,1,0.0000,0.0000
2019,Gross Revenue,Viet Nam,ASP OU,NRTD Coffee,2,0.0000,0.0000
2019,DfR,Viet Nam,ASP OU,NRTD Coffee,3,0.0000,0.0000
2019,Net Revenue,Viet Nam,ASP OU,NRTD Coffee,4,0.0000,0.0000
2019,COGS,Viet Nam,ASP OU,NRTD Coffee,5,0.0000,0.0000
2019,Gross Profit,Viet Nam,ASP OU,NRTD Coffee,6,0.0000,0.0000
2019,DME,Viet Nam,ASP OU,NRTD Coffee,7,0.0000,0.0000
2019,Operating Expenses,Viet Nam,ASP OU,NRTD Coffee,9,0.0000,0.0000
2019,Operating Income,Viet Nam,ASP OU,NRTD Coffee,10,0.0000,0.0000
2019,Unit Cases (UCS),Australia,ASP OU,Total Category,1,281.7644,281.7644
2019,Gross Revenue,Australia,ASP OU,Total Category,2,328.0789,472.2020
2019,DfR,Australia,ASP OU,Total Category,3,3.9922,5.7482
2019,Net Revenue,Australia,ASP OU,Total Category,4,324.0867,466.4538
2019,COGS,Australia,ASP OU,Total Category,5,35.1089,47.4936
2019,Gross Profit,Australia,ASP OU,Total Category,6,288.9778,418.9602
2019,DME,Australia,ASP OU,Total Category,7,65.2582,94.2585
2019,Operating Expenses,Australia,ASP OU,Total Category,9,31.6249,45.5178
2019,Operating Income,Australia,ASP OU,Total Category,10,192.0947,279.1840
2019,Unit Cases (UCS),Australia,ASP OU,Coca-Cola,1,170.4537,170.4537
2019,Gross Revenue,Australia,ASP OU,Coca-Cola,2,222.4100,320.3420
2019,DfR,Australia,ASP OU,Coca-Cola,3,3.0188,4.3359
2019,Net Revenue,Australia,ASP OU,Coca-Cola,4,219.3912,316.0061
2019,COGS,Australia,ASP OU,Coca-Cola,5,12.9632,18.3753
2019,Gross Profit,Australia,ASP OU,Coca-Cola,6,206.4281,297.6308
2019,DME,Australia,ASP OU,Coca-Cola,7,37.2737,53.8217
2019,Operating Expenses,Australia,ASP OU,Coca-Cola,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Coca-Cola,10,169.1544,243.8091
2019,Unit Cases (UCS),Australia,ASP OU,Sparkling Flavors,1,40.6383,40.6383
2019,Gross Revenue,Australia,ASP OU,Sparkling Flavors,2,42.8600,61.8544
2019,DfR,Australia,ASP OU,Sparkling Flavors,3,0.8632,1.2391
2019,Net Revenue,Australia,ASP OU,Sparkling Flavors,4,41.9968,60.6153
2019,COGS,Australia,ASP OU,Sparkling Flavors,5,4.1087,5.9324
2019,Gross Profit,Australia,ASP OU,Sparkling Flavors,6,37.8881,54.6830
2019,DME,Australia,ASP OU,Sparkling Flavors,7,8.0225,11.6504
2019,Operating Expenses,Australia,ASP OU,Sparkling Flavors,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Sparkling Flavors,10,29.8656,43.0325
2019,Unit Cases (UCS),Australia,ASP OU,Packaged Water,1,50.4030,50.4030
2019,Gross Revenue,Australia,ASP OU,Packaged Water,2,11.1004,15.9838
2019,DfR,Australia,ASP OU,Packaged Water,3,0.2709,0.3890
2019,Net Revenue,Australia,ASP OU,Packaged Water,4,10.8295,15.5948
2019,COGS,Australia,ASP OU,Packaged Water,5,0.0047,0.0067
2019,Gross Profit,Australia,ASP OU,Packaged Water,6,10.8247,15.5881
2019,DME,Australia,ASP OU,Packaged Water,7,7.1752,10.3094
2019,Operating Expenses,Australia,ASP OU,Packaged Water,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Packaged Water,10,3.6496,5.2787
2019,Unit Cases (UCS),Australia,ASP OU,Enhanced Water Beverages,1,1.8364,1.8364
2019,Gross Revenue,Australia,ASP OU,Enhanced Water Beverages,2,5.1394,7.3966
2019,DfR,Australia,ASP OU,Enhanced Water Beverages,3,0.0212,0.0306
2019,Net Revenue,Australia,ASP OU,Enhanced Water Beverages,4,5.1182,7.3660
2019,COGS,Australia,ASP OU,Enhanced Water Beverages,5,0.4416,0.6357
2019,Gross Profit,Australia,ASP OU,Enhanced Water Beverages,6,4.6765,6.7303
2019,DME,Australia,ASP OU,Enhanced Water Beverages,7,0.1094,0.1612
2019,Operating Expenses,Australia,ASP OU,Enhanced Water Beverages,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Enhanced Water Beverages,10,4.5671,6.5691
2019,Unit Cases (UCS),Australia,ASP OU,Advanced Hydration,1,10.4367,10.4367
2019,Gross Revenue,Australia,ASP OU,Advanced Hydration,2,23.4118,33.7472
2019,DfR,Australia,ASP OU,Advanced Hydration,3,0.1519,0.2184
2019,Net Revenue,Australia,ASP OU,Advanced Hydration,4,23.2599,33.5289
2019,COGS,Australia,ASP OU,Advanced Hydration,5,1.9471,2.8077
2019,Gross Profit,Australia,ASP OU,Advanced Hydration,6,21.3128,30.7212
2019,DME,Australia,ASP OU,Advanced Hydration,7,4.7411,6.8356
2019,Operating Expenses,Australia,ASP OU,Advanced Hydration,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Advanced Hydration,10,16.5717,23.8855
2019,Unit Cases (UCS),Australia,ASP OU,Tea,1,1.8140,1.8140
2019,Gross Revenue,Australia,ASP OU,Tea,2,9.7987,14.0401
2019,DfR,Australia,ASP OU,Tea,3,0.0013,0.0019
2019,Net Revenue,Australia,ASP OU,Tea,4,9.7974,14.0383
2019,COGS,Australia,ASP OU,Tea,5,4.9783,7.1373
2019,Gross Profit,Australia,ASP OU,Tea,6,4.8191,6.9009
2019,DME,Australia,ASP OU,Tea,7,1.7911,2.6048
2019,Operating Expenses,Australia,ASP OU,Tea,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Tea,10,3.0280,4.2961
2019,Unit Cases (UCS),Australia,ASP OU,Juices/Nectars,1,0.1774,0.1774
2019,Gross Revenue,Australia,ASP OU,Juices/Nectars,2,0.1748,0.2582
2019,DfR,Australia,ASP OU,Juices/Nectars,3,0.0001,0.0001
2019,Net Revenue,Australia,ASP OU,Juices/Nectars,4,0.1748,0.2581
2019,COGS,Australia,ASP OU,Juices/Nectars,5,0.0171,0.0246
2019,Gross Profit,Australia,ASP OU,Juices/Nectars,6,0.1577,0.2335
2019,DME,Australia,ASP OU,Juices/Nectars,7,0.0035,0.0051
2019,Operating Expenses,Australia,ASP OU,Juices/Nectars,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Juices/Nectars,10,0.1542,0.2284
2019,Unit Cases (UCS),Australia,ASP OU,Juice Drinks,1,0.9676,0.9676
2019,Gross Revenue,Australia,ASP OU,Juice Drinks,2,1.2083,1.7470
2019,DfR,Australia,ASP OU,Juice Drinks,3,0.0005,0.0008
2019,Net Revenue,Australia,ASP OU,Juice Drinks,4,1.2078,1.7462
2019,COGS,Australia,ASP OU,Juice Drinks,5,0.1265,0.1825
2019,Gross Profit,Australia,ASP OU,Juice Drinks,6,1.0813,1.5636
2019,DME,Australia,ASP OU,Juice Drinks,7,0.0277,0.0407
2019,Operating Expenses,Australia,ASP OU,Juice Drinks,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Juice Drinks,10,1.0536,1.5229
2019,Unit Cases (UCS),Australia,ASP OU,Dairy Beverages,1,1.1056,1.1056
2019,Gross Revenue,Australia,ASP OU,Dairy Beverages,2,9.1999,13.1483
2019,DfR,Australia,ASP OU,Dairy Beverages,3,-0.6286,-0.8858
2019,Net Revenue,Australia,ASP OU,Dairy Beverages,4,9.8284,14.0341
2019,COGS,Australia,ASP OU,Dairy Beverages,5,7.0700,10.1143
2019,Gross Profit,Australia,ASP OU,Dairy Beverages,6,2.7584,3.9198
2019,DME,Australia,ASP OU,Dairy Beverages,7,2.6275,3.8072
2019,Operating Expenses,Australia,ASP OU,Dairy Beverages,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Dairy Beverages,10,0.1309,0.1126
2019,Unit Cases (UCS),Australia,ASP OU,Plant Based Beverages,1,0.0000,0.0000
2019,Gross Revenue,Australia,ASP OU,Plant Based Beverages,2,0.0000,0.0000
2019,DfR,Australia,ASP OU,Plant Based Beverages,3,0.0000,0.0000
2019,Net Revenue,Australia,ASP OU,Plant Based Beverages,4,0.0000,0.0000
2019,COGS,Australia,ASP OU,Plant Based Beverages,5,0.0000,0.0000
2019,Gross Profit,Australia,ASP OU,Plant Based Beverages,6,0.0000,0.0000
2019,DME,Australia,ASP OU,Plant Based Beverages,7,0.0000,0.0000
2019,Operating Expenses,Australia,ASP OU,Plant Based Beverages,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Plant Based Beverages,10,0.0000,0.0000
2019,Unit Cases (UCS),Australia,ASP OU,Juices/Nectars,1,2.5825,2.5825
2019,Gross Revenue,Australia,ASP OU,Juices/Nectars,2,2.6935,3.8796
2019,DfR,Australia,ASP OU,Juices/Nectars,3,0.1652,0.2373
2019,Net Revenue,Australia,ASP OU,Juices/Nectars,4,2.5283,3.6422
2019,COGS,Australia,ASP OU,Juices/Nectars,5,0.4943,0.7138
2019,Gross Profit,Australia,ASP OU,Juices/Nectars,6,2.0339,2.9284
2019,DME,Australia,ASP OU,Juices/Nectars,7,0.0930,0.1371
2019,Operating Expenses,Australia,ASP OU,Juices/Nectars,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Juices/Nectars,10,1.9409,2.7914
2019,Unit Cases (UCS),Australia,ASP OU,Other Alcoholic Beverages,1,0.0000,0.0000
2019,Gross Revenue,Australia,ASP OU,Other Alcoholic Beverages,2,0.0000,0.0000
2019,DfR,Australia,ASP OU,Other Alcoholic Beverages,3,0.0000,0.0000
2019,Net Revenue,Australia,ASP OU,Other Alcoholic Beverages,4,0.0000,0.0000
2019,COGS,Australia,ASP OU,Other Alcoholic Beverages,5,0.0000,0.0000
2019,Gross Profit,Australia,ASP OU,Other Alcoholic Beverages,6,0.0000,0.0000
2019,DME,Australia,ASP OU,Other Alcoholic Beverages,7,0.0000,0.0000
2019,Operating Expenses,Australia,ASP OU,Other Alcoholic Beverages,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Other Alcoholic Beverages,10,0.0000,0.0000
2019,Unit Cases (UCS),Australia,ASP OU,Other Alcoholic Beverages,1,0.0000,0.0000
2019,Gross Revenue,Australia,ASP OU,Other Alcoholic Beverages,2,0.0871,0.1222
2019,DfR,Australia,ASP OU,Other Alcoholic Beverages,3,0.0000,0.0001
2019,Net Revenue,Australia,ASP OU,Other Alcoholic Beverages,4,0.0870,0.1221
2019,COGS,Australia,ASP OU,Other Alcoholic Beverages,5,0.0000,0.0000
2019,Gross Profit,Australia,ASP OU,Other Alcoholic Beverages,6,0.0870,0.1221
2019,DME,Australia,ASP OU,Other Alcoholic Beverages,7,0.0018,0.0027
2019,Operating Expenses,Australia,ASP OU,Other Alcoholic Beverages,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Other Alcoholic Beverages,10,0.0852,0.1194
2019,Unit Cases (UCS),Australia,ASP OU,Other Alcoholic Beverages,1,0.0000,0.0000
2019,Gross Revenue,Australia,ASP OU,Other Alcoholic Beverages,2,0.0000,0.0000
2019,DfR,Australia,ASP OU,Other Alcoholic Beverages,3,0.0000,0.0000
2019,Net Revenue,Australia,ASP OU,Other Alcoholic Beverages,4,0.0000,0.0000
2019,COGS,Australia,ASP OU,Other Alcoholic Beverages,5,0.0000,0.0000
2019,Gross Profit,Australia,ASP OU,Other Alcoholic Beverages,6,0.0000,0.0000
2019,DME,Australia,ASP OU,Other Alcoholic Beverages,7,0.0000,0.0000
2019,Operating Expenses,Australia,ASP OU,Other Alcoholic Beverages,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Other Alcoholic Beverages,10,0.0000,0.0000
2019,Unit Cases (UCS),Australia,ASP OU,Energy,1,0.0000,0.0000
2019,Gross Revenue,Australia,ASP OU,Energy,2,-0.0546,-0.0766
2019,DfR,Australia,ASP OU,Energy,3,0.0000,0.0000
2019,Net Revenue,Australia,ASP OU,Energy,4,-0.0546,-0.0766
2019,COGS,Australia,ASP OU,Energy,5,0.0004,0.0005
2019,Gross Profit,Australia,ASP OU,Energy,6,-0.0550,-0.0771
2019,DME,Australia,ASP OU,Energy,7,-0.0012,-0.0017
2019,Operating Expenses,Australia,ASP OU,Energy,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Energy,10,-0.0538,-0.0754
2019,Unit Cases (UCS),Australia,ASP OU,Other Categories,1,0.0552,0.0552
2019,Gross Revenue,Australia,ASP OU,Other Categories,2,-0.7823,-1.3729
2019,DfR,Australia,ASP OU,Other Categories,3,-0.0001,-0.0002
2019,Net Revenue,Australia,ASP OU,Other Categories,4,-0.7822,-1.3727
2019,COGS,Australia,ASP OU,Other Categories,5,0.1849,0.2687
2019,Gross Profit,Australia,ASP OU,Other Categories,6,-0.9671,-1.6414
2019,DME,Australia,ASP OU,Other Categories,7,-0.0068,-0.0101
2019,Operating Expenses,Australia,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Other Categories,10,-0.9602,-1.6313
2019,Unit Cases (UCS),Australia,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,Australia,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,Australia,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,Australia,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,Australia,ASP OU,Other Categories,5,0.0000,0.0000
2019,Gross Profit,Australia,ASP OU,Other Categories,6,0.0000,0.0000
2019,DME,Australia,ASP OU,Other Categories,7,0.0000,0.0000
2019,Operating Expenses,Australia,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Other Categories,10,0.0000,0.0000
2019,Unit Cases (UCS),Australia,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,Australia,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,Australia,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,Australia,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,Australia,ASP OU,Other Categories,5,0.0000,0.0000
2019,Gross Profit,Australia,ASP OU,Other Categories,6,0.0000,0.0000
2019,DME,Australia,ASP OU,Other Categories,7,0.0000,0.0000
2019,Operating Expenses,Australia,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Other Categories,10,0.0000,0.0000
2019,Unit Cases (UCS),Australia,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,Australia,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,Australia,ASP OU,Other Categories,3,0.0000,0.0000
2019,Net Revenue,Australia,ASP OU,Other Categories,4,0.0000,0.0000
2019,COGS,Australia,ASP OU,Other Categories,5,0.0000,0.0000
2019,Gross Profit,Australia,ASP OU,Other Categories,6,0.0000,0.0000
2019,DME,Australia,ASP OU,Other Categories,7,0.0000,0.0000
2019,Operating Expenses,Australia,ASP OU,Other Categories,9,0.0000,0.0000
2019,Operating Income,Australia,ASP OU,Other Categories,10,0.0000,0.0000
2019,Unit Cases (UCS),Australia,ASP OU,Other Categories,1,0.0000,0.0000
2019,Gross Revenue,Australia,ASP OU,Other Categories,2,0.0000,0.0000
2019,DfR,Australia,ASP OU,Other Categories,3,0.0000,0.0000
